idstatefrom,idaction,idstateto,probability,reward
1,1,1,1.0,0.0
2,1,2,0.079,-1.2123657047438399
2,1,15,0.049,-1.2123657047438403
2,1,17,0.020999999999999998,-1.212365704743842
2,1,22,0.078,-1.2123657047438399
2,1,37,0.004999999999999997,-1.2123657047438423
2,1,43,0.05,-1.2123657047438403
2,1,51,0.0009999999999999994,-1.2123657047438425
2,1,52,0.067,-1.21236570474384
2,1,59,0.05500000000000001,-1.2123657047438403
2,1,76,0.0039999999999999975,-1.2123657047438425
2,1,84,0.012999999999999996,-1.212365704743842
2,1,91,0.023,-1.212365704743842
2,1,93,0.0019999999999999987,-1.2123657047438425
2,1,95,0.10700000000000001,-1.2123657047438399
2,1,99,0.064,-1.21236570474384
2,1,106,0.0039999999999999975,-1.2123657047438425
2,1,107,0.007999999999999995,-1.2123657047438425
2,1,114,0.002999999999999998,-1.2123657047438425
2,1,132,0.012999999999999996,-1.212365704743842
2,1,164,0.008999999999999996,-1.2123657047438423
2,1,178,0.008999999999999996,-1.2123657047438423
2,1,181,0.010999999999999996,-1.2123657047438423
2,1,188,0.043000000000000003,-1.2123657047438403
2,1,212,0.028,-1.2123657047438419
2,1,237,0.038,-1.212365704743841
2,1,245,0.006999999999999996,-1.2123657047438423
2,1,248,0.08600000000000001,-1.2123657047438399
2,1,257,0.0009999999999999994,-1.2123657047438425
2,1,267,0.023999999999999997,-1.212365704743842
2,1,285,0.013999999999999997,-1.212365704743842
2,1,321,0.008999999999999996,-1.2123657047438423
2,1,370,0.0009999999999999994,-1.2123657047438425
2,1,387,0.0019999999999999987,-1.2123657047438425
2,1,393,0.0009999999999999994,-1.2123657047438425
2,1,395,0.012999999999999996,-1.212365704743842
2,1,397,0.058,-1.21236570474384
2,2,2,0.078,-1.2123657047438399
2,2,15,0.05,-1.2123657047438403
2,2,17,0.013999999999999997,-1.212365704743842
2,2,22,0.076,-1.2123657047438399
2,2,37,0.006999999999999996,-1.2123657047438423
2,2,43,0.054000000000000006,-1.2123657047438403
2,2,51,0.0039999999999999975,-1.2123657047438425
2,2,52,0.05600000000000001,-1.2123657047438403
2,2,59,0.04,-1.2123657047438408
2,2,76,0.004999999999999997,-1.2123657047438423
2,2,80,0.0009999999999999994,-1.2123657047438425
2,2,84,0.018999999999999996,-1.212365704743842
2,2,91,0.026,-1.212365704743842
2,2,95,0.10200000000000001,-1.2123657047438399
2,2,99,0.08,-1.2123657047438399
2,2,106,0.002999999999999998,-1.2123657047438425
2,2,107,0.016999999999999998,-1.212365704743842
2,2,132,0.016999999999999998,-1.212365704743842
2,2,158,0.0019999999999999987,-1.2123657047438425
2,2,164,0.015999999999999997,-1.212365704743842
2,2,178,0.019999999999999997,-1.212365704743842
2,2,181,0.005999999999999996,-1.2123657047438423
2,2,188,0.035,-1.2123657047438412
2,2,212,0.018,-1.212365704743842
2,2,237,0.031,-1.2123657047438414
2,2,245,0.006999999999999996,-1.2123657047438423
2,2,248,0.10300000000000001,-1.2123657047438399
2,2,257,0.002999999999999998,-1.2123657047438425
2,2,267,0.028,-1.2123657047438419
2,2,285,0.008999999999999996,-1.2123657047438423
2,2,321,0.011999999999999995,-1.2123657047438423
2,2,370,0.005999999999999996,-1.2123657047438423
2,2,395,0.004999999999999997,-1.2123657047438423
2,2,397,0.05,-1.2123657047438403
3,1,3,0.20900000000000002,-0.8089433810221927
3,1,9,0.007999999999999995,-0.8089433810221952
3,1,11,0.023999999999999997,-0.8089433810221951
3,1,19,0.0009999999999999994,-0.8089433810221953
3,1,56,0.042,-0.8089433810221949
3,1,81,0.0009999999999999994,-0.8089433810221953
3,1,119,0.0009999999999999994,-0.8089433810221953
3,1,134,0.11000000000000001,-0.808943381022193
3,1,138,0.0039999999999999975,-0.8089433810221953
3,1,202,0.041,-0.8089433810221949
3,1,203,0.002999999999999998,-0.8089433810221953
3,1,210,0.0009999999999999994,-0.8089433810221953
3,1,220,0.041,-0.8089433810221949
3,1,223,0.0009999999999999994,-0.8089433810221953
3,1,224,0.082,-0.8089433810221933
3,1,260,0.058,-0.808943381022194
3,1,281,0.083,-0.8089433810221933
3,1,286,0.028,-0.8089433810221951
3,1,292,0.257,-0.8089433810221925
3,1,326,0.0019999999999999987,-0.8089433810221953
3,1,360,0.0019999999999999987,-0.8089433810221953
3,1,377,0.0009999999999999994,-0.8089433810221953
3,2,3,0.23,-0.8089433810221925
3,2,9,0.004999999999999997,-0.8089433810221953
3,2,11,0.026,-0.8089433810221951
3,2,39,0.0009999999999999994,-0.8089433810221953
3,2,56,0.039,-0.8089433810221951
3,2,119,0.0009999999999999994,-0.8089433810221953
3,2,134,0.10800000000000001,-0.808943381022193
3,2,138,0.0039999999999999975,-0.8089433810221953
3,2,173,0.0009999999999999994,-0.8089433810221953
3,2,202,0.037,-0.8089433810221951
3,2,203,0.006999999999999996,-0.8089433810221953
3,2,210,0.0009999999999999994,-0.8089433810221953
3,2,220,0.04,-0.808943381022195
3,2,224,0.075,-0.8089433810221937
3,2,260,0.060000000000000005,-0.8089433810221939
3,2,281,0.081,-0.8089433810221934
3,2,286,0.028,-0.8089433810221951
3,2,292,0.254,-0.8089433810221925
3,2,360,0.0019999999999999987,-0.8089433810221953
4,1,4,0.18600000000000003,-0.5699394348074304
4,1,9,0.015999999999999997,-0.5699394348074296
4,1,12,0.0039999999999999975,-0.5699394348074298
4,1,21,0.0039999999999999975,-0.5699394348074298
4,1,31,0.10600000000000001,-0.5699394348074301
4,1,35,0.09300000000000001,-0.5699394348074301
4,1,56,0.002999999999999998,-0.5699394348074298
4,1,62,0.0019999999999999987,-0.5699394348074298
4,1,65,0.0009999999999999994,-0.5699394348074298
4,1,70,0.010999999999999996,-0.5699394348074297
4,1,77,0.07100000000000001,-0.56993943480743
4,1,134,0.0039999999999999975,-0.5699394348074298
4,1,138,0.046000000000000006,-0.5699394348074297
4,1,173,0.07200000000000001,-0.56993943480743
4,1,202,0.0009999999999999994,-0.5699394348074298
4,1,203,0.127,-0.5699394348074304
4,1,204,0.035,-0.5699394348074298
4,1,206,0.027,-0.5699394348074296
4,1,214,0.0009999999999999994,-0.5699394348074298
4,1,222,0.0009999999999999994,-0.5699394348074298
4,1,223,0.034,-0.5699394348074298
4,1,224,0.0039999999999999975,-0.5699394348074298
4,1,231,0.013999999999999997,-0.5699394348074296
4,1,272,0.045000000000000005,-0.5699394348074296
4,1,281,0.0009999999999999994,-0.5699394348074298
4,1,284,0.0019999999999999987,-0.5699394348074298
4,1,299,0.023,-0.5699394348074296
4,1,302,0.04,-0.5699394348074299
4,1,377,0.011999999999999995,-0.5699394348074297
4,1,382,0.013999999999999997,-0.5699394348074296
4,2,4,0.189,-0.5699394348074304
4,2,9,0.011999999999999995,-0.5699394348074297
4,2,12,0.005999999999999996,-0.5699394348074298
4,2,21,0.005999999999999996,-0.5699394348074298
4,2,31,0.08700000000000001,-0.5699394348074301
4,2,35,0.077,-0.5699394348074301
4,2,56,0.007999999999999995,-0.5699394348074298
4,2,62,0.004999999999999997,-0.5699394348074298
4,2,70,0.011999999999999995,-0.5699394348074297
4,2,77,0.066,-0.5699394348074298
4,2,134,0.002999999999999998,-0.5699394348074298
4,2,138,0.054000000000000006,-0.5699394348074295
4,2,173,0.076,-0.5699394348074301
4,2,203,0.14300000000000002,-0.5699394348074304
4,2,204,0.033,-0.5699394348074297
4,2,206,0.027,-0.5699394348074296
4,2,214,0.0009999999999999994,-0.5699394348074298
4,2,223,0.038,-0.5699394348074299
4,2,224,0.0019999999999999987,-0.5699394348074298
4,2,231,0.005999999999999996,-0.5699394348074298
4,2,272,0.05500000000000001,-0.5699394348074295
4,2,281,0.0009999999999999994,-0.5699394348074298
4,2,284,0.002999999999999998,-0.5699394348074298
4,2,299,0.028,-0.5699394348074295
4,2,302,0.039,-0.5699394348074299
4,2,377,0.015999999999999997,-0.5699394348074296
4,2,378,0.0009999999999999994,-0.5699394348074298
4,2,382,0.005999999999999996,-0.5699394348074298
5,1,5,0.131,-1.1494368339142451
5,1,6,0.002999999999999998,-1.149436833914244
5,1,14,0.024999999999999998,-1.149436833914243
5,1,16,0.007999999999999995,-1.1494368339142438
5,1,34,0.0009999999999999994,-1.149436833914244
5,1,36,0.05600000000000001,-1.1494368339142442
5,1,45,0.005999999999999996,-1.149436833914244
5,1,47,0.0009999999999999994,-1.149436833914244
5,1,50,0.0009999999999999994,-1.149436833914244
5,1,58,0.048,-1.1494368339142442
5,1,63,0.006999999999999996,-1.1494368339142438
5,1,87,0.002999999999999998,-1.149436833914244
5,1,90,0.0019999999999999987,-1.149436833914244
5,1,96,0.010999999999999996,-1.1494368339142436
5,1,121,0.0009999999999999994,-1.149436833914244
5,1,123,0.013999999999999997,-1.1494368339142431
5,1,127,0.09200000000000001,-1.1494368339142447
5,1,131,0.009999999999999995,-1.1494368339142438
5,1,144,0.133,-1.1494368339142451
5,1,150,0.011999999999999995,-1.1494368339142436
5,1,156,0.0019999999999999987,-1.149436833914244
5,1,166,0.005999999999999996,-1.149436833914244
5,1,180,0.002999999999999998,-1.149436833914244
5,1,184,0.013999999999999997,-1.1494368339142431
5,1,199,0.007999999999999995,-1.1494368339142438
5,1,200,0.020999999999999998,-1.149436833914243
5,1,215,0.0019999999999999987,-1.149436833914244
5,1,226,0.011999999999999995,-1.1494368339142436
5,1,230,0.020999999999999998,-1.149436833914243
5,1,234,0.0019999999999999987,-1.149436833914244
5,1,241,0.0019999999999999987,-1.149436833914244
5,1,252,0.008999999999999996,-1.1494368339142438
5,1,268,0.016999999999999998,-1.1494368339142431
5,1,291,0.04,-1.1494368339142438
5,1,293,0.046000000000000006,-1.1494368339142442
5,1,308,0.0039999999999999975,-1.149436833914244
5,1,317,0.046000000000000006,-1.1494368339142442
5,1,335,0.031,-1.1494368339142431
5,1,338,0.014999999999999996,-1.1494368339142431
5,1,358,0.002999999999999998,-1.149436833914244
5,1,362,0.0019999999999999987,-1.149436833914244
5,1,368,0.045000000000000005,-1.1494368339142442
5,1,373,0.073,-1.1494368339142447
5,1,380,0.002999999999999998,-1.149436833914244
5,1,381,0.007999999999999995,-1.1494368339142438
5,2,5,0.14500000000000002,-1.1494368339142451
5,2,6,0.0009999999999999994,-1.149436833914244
5,2,14,0.020999999999999998,-1.149436833914243
5,2,16,0.010999999999999996,-1.1494368339142436
5,2,36,0.058,-1.1494368339142442
5,2,45,0.005999999999999996,-1.149436833914244
5,2,47,0.0009999999999999994,-1.149436833914244
5,2,58,0.03,-1.1494368339142431
5,2,63,0.005999999999999996,-1.149436833914244
5,2,96,0.012999999999999996,-1.1494368339142433
5,2,121,0.0019999999999999987,-1.149436833914244
5,2,123,0.018999999999999996,-1.149436833914243
5,2,127,0.094,-1.1494368339142447
5,2,131,0.004999999999999997,-1.149436833914244
5,2,144,0.151,-1.1494368339142451
5,2,150,0.007999999999999995,-1.1494368339142438
5,2,152,0.0039999999999999975,-1.149436833914244
5,2,166,0.005999999999999996,-1.149436833914244
5,2,184,0.016999999999999998,-1.1494368339142431
5,2,199,0.004999999999999997,-1.149436833914244
5,2,200,0.019999999999999997,-1.149436833914243
5,2,215,0.0039999999999999975,-1.149436833914244
5,2,226,0.007999999999999995,-1.1494368339142438
5,2,230,0.020999999999999998,-1.149436833914243
5,2,234,0.004999999999999997,-1.149436833914244
5,2,241,0.0019999999999999987,-1.149436833914244
5,2,252,0.015999999999999997,-1.1494368339142431
5,2,268,0.016999999999999998,-1.1494368339142431
5,2,291,0.043000000000000003,-1.1494368339142442
5,2,293,0.051000000000000004,-1.1494368339142442
5,2,308,0.004999999999999997,-1.149436833914244
5,2,317,0.039,-1.1494368339142438
5,2,318,0.0009999999999999994,-1.149436833914244
5,2,335,0.020999999999999998,-1.149436833914243
5,2,338,0.018999999999999996,-1.149436833914243
5,2,358,0.0019999999999999987,-1.149436833914244
5,2,362,0.0009999999999999994,-1.149436833914244
5,2,363,0.0019999999999999987,-1.149436833914244
5,2,368,0.034,-1.1494368339142436
5,2,373,0.074,-1.1494368339142447
5,2,380,0.005999999999999996,-1.149436833914244
5,2,381,0.004999999999999997,-1.149436833914244
5,2,385,0.0009999999999999994,-1.149436833914244
6,1,6,0.083,-1.1539046848426375
6,1,14,0.012999999999999996,-1.1539046848426375
6,1,16,0.0009999999999999994,-1.1539046848426375
6,1,36,0.065,-1.1539046848426375
6,1,45,0.08600000000000001,-1.1539046848426375
6,1,50,0.0009999999999999994,-1.1539046848426375
6,1,58,0.048,-1.1539046848426375
6,1,63,0.012999999999999996,-1.1539046848426375
6,1,96,0.023999999999999997,-1.1539046848426375
6,1,109,0.002999999999999998,-1.1539046848426375
6,1,111,0.0019999999999999987,-1.1539046848426375
6,1,123,0.023,-1.1539046848426375
6,1,127,0.064,-1.1539046848426375
6,1,131,0.016999999999999998,-1.1539046848426375
6,1,136,0.0009999999999999994,-1.1539046848426375
6,1,144,0.004999999999999997,-1.1539046848426375
6,1,150,0.002999999999999998,-1.1539046848426375
6,1,152,0.0019999999999999987,-1.1539046848426375
6,1,166,0.006999999999999996,-1.1539046848426378
6,1,184,0.066,-1.1539046848426375
6,1,199,0.022,-1.1539046848426375
6,1,200,0.011999999999999995,-1.1539046848426375
6,1,215,0.008999999999999996,-1.1539046848426378
6,1,230,0.12100000000000001,-1.1539046848426375
6,1,241,0.0039999999999999975,-1.1539046848426375
6,1,243,0.0009999999999999994,-1.1539046848426375
6,1,252,0.033,-1.1539046848426375
6,1,268,0.028,-1.1539046848426375
6,1,275,0.002999999999999998,-1.1539046848426375
6,1,291,0.018999999999999996,-1.1539046848426375
6,1,293,0.05,-1.1539046848426375
6,1,308,0.0019999999999999987,-1.1539046848426375
6,1,318,0.0009999999999999994,-1.1539046848426375
6,1,335,0.019999999999999997,-1.1539046848426375
6,1,338,0.05600000000000001,-1.1539046848426375
6,1,358,0.04,-1.1539046848426375
6,1,362,0.0009999999999999994,-1.1539046848426375
6,1,368,0.020999999999999998,-1.1539046848426375
6,1,371,0.0019999999999999987,-1.1539046848426375
6,1,380,0.0019999999999999987,-1.1539046848426375
6,1,381,0.026,-1.1539046848426375
6,2,6,0.099,-1.1539046848426375
6,2,14,0.012999999999999996,-1.1539046848426375
6,2,16,0.0019999999999999987,-1.1539046848426375
6,2,36,0.064,-1.1539046848426375
6,2,45,0.096,-1.1539046848426375
6,2,58,0.041,-1.1539046848426375
6,2,63,0.012999999999999996,-1.1539046848426375
6,2,96,0.023999999999999997,-1.1539046848426375
6,2,109,0.004999999999999997,-1.1539046848426375
6,2,111,0.0019999999999999987,-1.1539046848426375
6,2,121,0.0009999999999999994,-1.1539046848426375
6,2,123,0.019999999999999997,-1.1539046848426375
6,2,127,0.063,-1.1539046848426378
6,2,131,0.018,-1.1539046848426375
6,2,144,0.0019999999999999987,-1.1539046848426375
6,2,150,0.0039999999999999975,-1.1539046848426375
6,2,152,0.0009999999999999994,-1.1539046848426375
6,2,166,0.008999999999999996,-1.1539046848426378
6,2,184,0.05700000000000001,-1.1539046848426375
6,2,193,0.0019999999999999987,-1.1539046848426375
6,2,199,0.023,-1.1539046848426375
6,2,200,0.013999999999999997,-1.1539046848426375
6,2,215,0.005999999999999996,-1.1539046848426375
6,2,226,0.0039999999999999975,-1.1539046848426375
6,2,230,0.11400000000000002,-1.1539046848426375
6,2,234,0.0009999999999999994,-1.1539046848426375
6,2,241,0.004999999999999997,-1.1539046848426375
6,2,252,0.028,-1.1539046848426375
6,2,268,0.032,-1.1539046848426375
6,2,275,0.004999999999999997,-1.1539046848426375
6,2,291,0.03,-1.1539046848426375
6,2,293,0.05500000000000001,-1.1539046848426375
6,2,308,0.002999999999999998,-1.1539046848426375
6,2,327,0.0009999999999999994,-1.1539046848426375
