idstatefrom,idaction,idstateto,probability,reward
1,1,1,0.1,0.0
1,1,1,0.3,0.0
1,1,1,0.1,0.0
1,1,1,0.1,0.0
1,1,1,0.1,0.0
1,1,1,0.1,0.0
1,1,1,0.0,0.0
1,1,1,0.2,0.0
1,2,2,0.1,-7.3
1,2,1,0.3,9.0
1,2,1,0.1,9.0
1,2,1,0.1,9.0
1,2,1,0.1,9.0
1,2,1,0.1,9.0
1,2,1,0.0,9.0
1,2,1,0.2,9.0
1,3,3,0.1,-12.6
1,3,1,0.3,20.0
1,3,1,0.1,20.0
1,3,1,0.1,20.0
1,3,1,0.1,20.0
1,3,1,0.1,20.0
1,3,1,0.0,20.0
1,3,1,0.2,20.0
1,4,4,0.1,-17.9
1,4,2,0.3,14.7
1,4,1,0.1,31.0
1,4,1,0.1,31.0
1,4,1,0.1,31.0
1,4,1,0.1,31.0
1,4,1,0.0,31.0
1,4,2,0.2,14.7
1,5,5,0.1,-23.2
1,5,3,0.3,9.399999999999999
1,5,2,0.1,25.7
1,5,1,0.1,42.0
1,5,1,0.1,42.0
1,5,1,0.1,42.0
1,5,2,0.0,25.7
1,5,3,0.2,9.399999999999999
1,6,6,0.1,-28.5
1,6,4,0.3,4.100000000000001
1,6,3,0.1,20.4
1,6,2,0.1,36.7
1,6,1,0.1,53.0
1,6,1,0.1,53.0
1,6,3,0.0,20.4
1,6,4,0.2,4.100000000000001
1,7,7,0.1,-33.8
1,7,5,0.3,-1.2000000000000028
1,7,4,0.1,15.100000000000001
1,7,3,0.1,31.4
1,7,2,0.1,47.7
1,7,1,0.1,64.0
1,7,4,0.0,15.100000000000001
1,7,5,0.2,-1.2000000000000028
1,8,8,0.1,-39.1
1,8,6,0.3,-6.5
1,8,5,0.1,9.799999999999997
1,8,4,0.1,26.1
1,8,3,0.1,42.4
1,8,1,0.1,75.0
1,8,5,0.0,9.799999999999997
1,8,6,0.2,-6.5
1,9,9,0.1,-44.4
1,9,7,0.3,-11.799999999999997
1,9,6,0.1,4.5
1,9,5,0.1,20.799999999999997
1,9,4,0.1,37.1
1,9,1,0.1,86.0
1,9,6,0.0,4.5
1,9,7,0.2,-11.799999999999997
1,10,10,0.1,-49.7
1,10,8,0.3,-17.1
1,10,7,0.1,-0.7999999999999972
1,10,6,0.1,15.5
1,10,5,0.1,31.799999999999997
1,10,1,0.1,97.0
1,10,7,0.0,-0.7999999999999972
1,10,8,0.2,-17.1
1,11,11,0.1,-55.0
1,11,9,0.3,-22.4
1,11,8,0.1,-6.100000000000001
1,11,7,0.1,10.200000000000003
1,11,6,0.1,26.5
1,11,1,0.1,108.0
1,11,8,0.0,-6.100000000000001
1,11,9,0.2,-22.4
1,12,12,0.1,-60.3
1,12,10,0.3,-27.700000000000003
1,12,9,0.1,-11.399999999999999
1,12,8,0.1,4.899999999999999
1,12,7,0.1,21.200000000000003
1,12,1,0.1,119.0
1,12,9,0.0,-11.399999999999999
1,12,10,0.2,-27.700000000000003
1,13,13,0.1,-65.6
1,13,11,0.3,-33.0
1,13,10,0.1,-16.700000000000003
1,13,9,0.1,-0.4000000000000057
1,13,8,0.1,15.900000000000006
1,13,1,0.1,130.0
1,13,10,0.0,-16.700000000000003
1,13,11,0.2,-33.0
1,14,14,0.1,-70.9
1,14,12,0.3,-38.3
1,14,11,0.1,-22.0
1,14,10,0.1,-5.700000000000003
1,14,9,0.1,10.599999999999994
1,14,1,0.1,141.0
1,14,11,0.0,-22.0
1,14,12,0.2,-38.3
1,15,15,0.1,-76.2
1,15,13,0.3,-43.599999999999994
1,15,12,0.1,-27.299999999999997
1,15,11,0.1,-11.0
1,15,10,0.1,5.299999999999997
1,15,1,0.1,152.0
1,15,12,0.0,-27.299999999999997
1,15,13,0.2,-43.599999999999994
1,16,16,0.1,-81.5
1,16,14,0.3,-48.900000000000006
1,16,13,0.1,-32.599999999999994
1,16,12,0.1,-16.299999999999997
1,16,11,0.1,0.0
1,16,1,0.1,163.0
1,16,13,0.0,-32.599999999999994
1,16,14,0.2,-48.900000000000006
1,17,17,0.1,-86.8
1,17,15,0.3,-54.2
1,17,14,0.1,-37.900000000000006
1,17,13,0.1,-21.599999999999994
1,17,12,0.1,-5.299999999999997
1,17,1,0.1,174.0
1,17,14,0.0,-37.900000000000006
1,17,15,0.2,-54.2
1,18,18,0.1,-92.1
1,18,16,0.3,-59.5
1,18,15,0.1,-43.2
1,18,14,0.1,-26.900000000000006
1,18,13,0.1,-10.599999999999994
1,18,1,0.1,185.0
1,18,15,0.0,-43.2
1,18,16,0.2,-59.5
1,19,19,0.1,-97.4
1,19,17,0.3,-64.8
1,19,16,0.1,-48.5
1,19,15,0.1,-32.2
1,19,14,0.1,-15.900000000000006
1,19,1,0.1,196.0
1,19,16,0.0,-48.5
1,19,17,0.2,-64.8
1,20,20,0.1,-102.7
1,20,18,0.3,-70.1
1,20,17,0.1,-53.8
1,20,16,0.1,-37.5
1,20,15,0.1,-21.200000000000003
1,20,1,0.1,207.0
1,20,17,0.0,-53.8
1,20,18,0.2,-70.1
1,21,21,0.1,-108.0
1,21,19,0.3,-75.4
1,21,18,0.1,-59.099999999999994
1,21,17,0.1,-42.8
1,21,16,0.1,-26.5
1,21,1,0.1,218.0
1,21,18,0.0,-59.099999999999994
1,21,19,0.2,-75.4
1,22,22,0.1,-113.3
1,22,20,0.3,-80.7
1,22,19,0.1,-64.4
1,22,18,0.1,-48.099999999999994
1,22,17,0.1,-31.799999999999997
1,22,1,0.1,229.0
1,22,19,0.0,-64.4
1,22,20,0.2,-80.7
1,23,23,0.1,-118.6
1,23,21,0.3,-86.0
1,23,20,0.1,-69.7
1,23,19,0.1,-53.400000000000006
1,23,18,0.1,-37.099999999999994
1,23,1,0.1,240.0
1,23,20,0.0,-69.7
1,23,21,0.2,-86.0
1,24,24,0.1,-123.9
1,24,22,0.3,-91.3
1,24,21,0.1,-75.0
1,24,20,0.1,-58.7
1,24,19,0.1,-42.400000000000006
1,24,1,0.1,251.0
1,24,21,0.0,-75.0
1,24,22,0.2,-91.3
1,25,25,0.1,-129.2
1,25,23,0.3,-96.6
1,25,22,0.1,-80.30000000000001
1,25,21,0.1,-64.0
1,25,20,0.1,-47.7
1,25,1,0.1,262.0
1,25,22,0.0,-80.30000000000001
1,25,23,0.2,-96.6
1,26,26,0.1,-134.5
1,26,24,0.3,-101.9
1,26,23,0.1,-85.6
1,26,22,0.1,-69.30000000000001
1,26,21,0.1,-53.0
1,26,1,0.1,273.0
1,26,23,0.0,-85.6
1,26,24,0.2,-101.9
1,27,27,0.1,-139.8
1,27,25,0.3,-107.19999999999999
1,27,24,0.1,-90.9
1,27,23,0.1,-74.6
1,27,22,0.1,-58.30000000000001
1,27,1,0.1,284.0
1,27,24,0.0,-90.9
1,27,25,0.2,-107.19999999999999
1,28,28,0.1,-145.1
1,28,26,0.3,-112.5
1,28,25,0.1,-96.19999999999999
1,28,24,0.1,-79.9
1,28,23,0.1,-63.599999999999994
1,28,1,0.1,295.0
1,28,25,0.0,-96.19999999999999
1,28,26,0.2,-112.5
1,29,29,0.1,-150.4
1,29,27,0.3,-117.80000000000001
1,29,26,0.1,-101.5
1,29,25,0.1,-85.19999999999999
1,29,24,0.1,-68.9
1,29,1,0.1,306.0
1,29,26,0.0,-101.5
1,29,27,0.2,-117.80000000000001
1,30,30,0.1,-155.7
1,30,28,0.3,-123.1
1,30,27,0.1,-106.80000000000001
1,30,26,0.1,-90.5
1,30,25,0.1,-74.19999999999999
1,30,1,0.1,317.0
1,30,27,0.0,-106.80000000000001
1,30,28,0.2,-123.1
1,31,31,0.1,-161.0
1,31,29,0.3,-128.4
1,31,28,0.1,-112.1
1,31,27,0.1,-95.80000000000001
1,31,26,0.1,-79.5
1,31,1,0.1,328.0
1,31,28,0.0,-112.1
1,31,29,0.2,-128.4
1,32,32,0.1,-166.3
1,32,30,0.3,-133.7
1,32,29,0.1,-117.4
1,32,28,0.1,-101.1
1,32,27,0.1,-84.80000000000001
1,32,2,0.1,322.7
1,32,29,0.0,-117.4
1,32,30,0.2,-133.7
1,33,33,0.1,-171.6
1,33,31,0.3,-139.0
1,33,30,0.1,-122.69999999999999
1,33,29,0.1,-106.4
1,33,28,0.1,-90.1
1,33,3,0.1,317.4
1,33,30,0.0,-122.69999999999999
1,33,31,0.2,-139.0
1,34,34,0.1,-176.9
1,34,32,0.3,-144.3
1,34,31,0.1,-128.0
1,34,30,0.1,-111.69999999999999
1,34,29,0.1,-95.4
1,34,4,0.1,312.1
1,34,31,0.0,-128.0
1,34,32,0.2,-144.3
1,35,35,0.1,-182.2
1,35,33,0.3,-149.6
1,35,32,0.1,-133.3
1,35,31,0.1,-117.0
1,35,30,0.1,-100.69999999999999
1,35,5,0.1,306.8
1,35,32,0.0,-133.3
1,35,33,0.2,-149.6
1,36,36,0.1,-187.5
1,36,34,0.3,-154.9
1,36,33,0.1,-138.6
1,36,32,0.1,-122.30000000000001
1,36,31,0.1,-106.0
1,36,6,0.1,301.5
1,36,33,0.0,-138.6
1,36,34,0.2,-154.9
1,37,37,0.1,-192.8
1,37,35,0.3,-160.2
1,37,34,0.1,-143.9
1,37,33,0.1,-127.6
1,37,32,0.1,-111.30000000000001
1,37,7,0.1,296.2
1,37,34,0.0,-143.9
1,37,35,0.2,-160.2
1,38,38,0.1,-198.1
1,38,36,0.3,-165.5
1,38,35,0.1,-149.2
1,38,34,0.1,-132.9
1,38,33,0.1,-116.6
1,38,8,0.1,290.9
1,38,35,0.0,-149.2
1,38,36,0.2,-165.5
1,39,39,0.1,-203.4
1,39,37,0.3,-170.8
1,39,36,0.1,-154.5
1,39,35,0.1,-138.2
1,39,34,0.1,-121.9
1,39,9,0.1,285.6
1,39,36,0.0,-154.5
1,39,37,0.2,-170.8
1,40,40,0.1,-208.7
1,40,38,0.3,-176.1
1,40,37,0.1,-159.8
1,40,36,0.1,-143.5
1,40,35,0.1,-127.19999999999999
1,40,10,0.1,280.3
1,40,37,0.0,-159.8
1,40,38,0.2,-176.1
1,41,41,0.1,-214.0
1,41,39,0.3,-181.4
1,41,38,0.1,-165.1
1,41,37,0.1,-148.8
1,41,36,0.1,-132.5
1,41,11,0.1,275.0
1,41,38,0.0,-165.1
1,41,39,0.2,-181.4
1,42,42,0.1,-219.3
1,42,40,0.3,-186.7
1,42,39,0.1,-170.4
1,42,38,0.1,-154.1
1,42,37,0.1,-137.8
1,42,12,0.1,269.7
1,42,39,0.0,-170.4
1,42,40,0.2,-186.7
1,43,43,0.1,-224.6
1,43,41,0.3,-192.0
1,43,40,0.1,-175.7
1,43,39,0.1,-159.4
1,43,38,0.1,-143.1
1,43,13,0.1,264.4
1,43,40,0.0,-175.7
1,43,41,0.2,-192.0
1,44,44,0.1,-229.9
1,44,42,0.3,-197.3
1,44,41,0.1,-181.0
1,44,40,0.1,-164.7
1,44,39,0.1,-148.4
1,44,14,0.1,259.1
1,44,41,0.0,-181.0
1,44,42,0.2,-197.3
1,45,45,0.1,-235.2
1,45,43,0.3,-202.6
1,45,42,0.1,-186.3
1,45,41,0.1,-170.0
1,45,40,0.1,-153.7
1,45,15,0.1,253.8
1,45,42,0.0,-186.3
1,45,43,0.2,-202.6
1,46,46,0.1,-240.5
1,46,44,0.3,-207.9
1,46,43,0.1,-191.6
1,46,42,0.1,-175.3
1,46,41,0.1,-159.0
1,46,16,0.1,248.5
1,46,43,0.0,-191.6
1,46,44,0.2,-207.9
1,47,47,0.1,-245.8
1,47,45,0.3,-213.2
1,47,44,0.1,-196.9
1,47,43,0.1,-180.6
1,47,42,0.1,-164.3
1,47,17,0.1,243.2
1,47,44,0.0,-196.9
1,47,45,0.2,-213.2
1,48,48,0.1,-251.1
1,48,46,0.3,-218.5
1,48,45,0.1,-202.2
1,48,44,0.1,-185.9
1,48,43,0.1,-169.6
1,48,18,0.1,237.9
1,48,45,0.0,-202.2
1,48,46,0.2,-218.5
1,49,49,0.1,-256.4
1,49,47,0.3,-223.8
1,49,46,0.1,-207.5
1,49,45,0.1,-191.2
1,49,44,0.1,-174.9
1,49,19,0.1,232.6
1,49,46,0.0,-207.5
1,49,47,0.2,-223.8
1,50,50,0.1,-261.7
1,50,48,0.3,-229.10000000000002
1,50,47,0.1,-212.8
1,50,46,0.1,-196.5
1,50,45,0.1,-180.2
1,50,20,0.1,227.3
1,50,47,0.0,-212.8
1,50,48,0.2,-229.10000000000002
1,51,51,0.1,-267.0
1,51,49,0.3,-234.39999999999998
1,51,48,0.1,-218.10000000000002
1,51,47,0.1,-201.8
1,51,46,0.1,-185.5
1,51,21,0.1,222.0
1,51,48,0.0,-218.10000000000002
1,51,49,0.2,-234.39999999999998
2,1,2,0.1,-0.3
2,1,1,0.3,16.0
2,1,1,0.1,16.0
2,1,1,0.1,16.0
2,1,1,0.1,16.0
2,1,1,0.1,16.0
2,1,1,0.0,16.0
2,1,1,0.2,16.0
2,2,3,0.1,-7.6
2,2,1,0.3,25.0
2,2,1,0.1,25.0
2,2,1,0.1,25.0
2,2,1,0.1,25.0
2,2,1,0.1,25.0
2,2,1,0.0,25.0
2,2,1,0.2,25.0
2,3,4,0.1,-12.9
2,3,2,0.3,19.7
2,3,1,0.1,36.0
2,3,1,0.1,36.0
2,3,1,0.1,36.0
2,3,1,0.1,36.0
2,3,1,0.0,36.0
2,3,2,0.2,19.7
2,4,5,0.1,-18.2
2,4,3,0.3,14.399999999999999
2,4,2,0.1,30.7
2,4,1,0.1,47.0
2,4,1,0.1,47.0
2,4,1,0.1,47.0
2,4,2,0.0,30.7
2,4,3,0.2,14.399999999999999
2,5,6,0.1,-23.5
2,5,4,0.3,9.100000000000001
2,5,3,0.1,25.4
2,5,2,0.1,41.7
2,5,1,0.1,58.0
2,5,1,0.1,58.0
2,5,3,0.0,25.4
2,5,4,0.2,9.100000000000001
2,6,7,0.1,-28.8
2,6,5,0.3,3.8000000000000007
2,6,4,0.1,20.1
2,6,3,0.1,36.4
2,6,2,0.1,52.7
2,6,1,0.1,69.0
2,6,4,0.0,20.1
