idstatefrom,idaction,idstateto,probability,reward
1,1,1,0.050100000000001525,999.9999999999942
1,1,2,0.11020000000000459,999.9999999999856
1,1,3,0.21599999999999736,1000.0000000000241
1,1,4,0.2570999999999937,1000.0000000000362
1,1,5,0.21609999999999735,1000.0000000000242
1,1,6,0.10330000000000424,999.9999999999858
1,1,7,0.038400000000000926,999.999999999999
1,1,8,0.007500000000000174,999.9999999999989
1,1,9,0.0010000000000000226,999.9999999999998
1,1,10,0.0003000000000000067,999.9999999999999
1,2,1,0.052200000000001565,199.99999999999812
1,2,2,0.10880000000000438,199.99999999999568
1,2,3,0.20619999999999794,200.00000000001015
1,2,4,0.2608999999999931,200.00000000001322
1,2,5,0.2119999999999974,200.00000000001066
1,2,6,0.11290000000000458,199.99999999999554
1,2,7,0.03700000000000081,199.99999999999977
1,2,8,0.00900000000000019,199.99999999999994
1,2,9,0.0009000000000000191,199.99999999999994
1,2,10,0.0001000000000000021,200.0
1,3,1,0.048800000000001426,159.99999999999858
1,3,2,0.10940000000000448,159.99999999999733
1,3,3,0.206799999999998,159.9999999999999
1,3,4,0.26539999999999286,160.0
1,3,5,0.2115999999999976,159.9999999999999
1,3,6,0.11470000000000474,159.99999999999716
1,3,7,0.03540000000000075,159.9999999999999
1,3,8,0.007200000000000162,159.99999999999986
1,3,9,0.0007000000000000153,160.0
1,4,1,0.04670000000000131,119.99999999999932
1,4,2,0.11080000000000452,119.99999999999757
1,4,3,0.21499999999999725,120.00000000000567
1,4,4,0.25439999999999374,120.00000000000644
1,4,5,0.21149999999999755,120.0000000000055
1,4,6,0.11130000000000455,119.99999999999757
1,4,7,0.039600000000000954,119.99999999999987
1,4,8,0.009600000000000204,120.00000000000003
1,4,9,0.001100000000000024,119.99999999999987
1,5,1,0.04850000000000146,80.0
1,5,2,0.10170000000000419,79.99999999999913
1,5,3,0.21219999999999775,79.99999999999996
1,5,4,0.2607999999999935,80.0
1,5,5,0.21749999999999728,79.99999999999996
1,5,6,0.11560000000000491,79.99999999999878
1,5,7,0.03470000000000075,80.00000000000014
1,5,8,0.007800000000000184,80.00000000000009
1,5,9,0.0010000000000000228,80.00000000000011
1,5,10,0.00020000000000000454,80.00000000000011
2,1,1,0.0004000000000000065,999.0
2,1,2,0.011700000000000174,999.0000000000007
2,1,3,0.05320000000000136,998.9999999999883
2,1,4,0.11560000000000416,998.9999999999777
2,1,5,0.2108999999999965,999.0000000000157
