idstatefrom,idaction,idstateto,probability,reward
1,1,1,1.0,5.0
1,2,1,0.421657365594869,0.0
1,2,2,0.578342634405131,0.0
2,1,1,1.0,5.0
2,2,1,0.137028976772708,0.0
2,2,2,0.284628388822161,0.0
2,2,3,0.578342634405131,0.0
3,1,2,1.0,5.0
3,2,2,0.137028976772708,0.0
3,2,3,0.284628388822161,0.0
3,2,4,0.578342634405131,0.0
4,1,3,1.0,5.0
4,2,3,0.137028976772708,0.0
4,2,4,0.284628388822161,0.0
4,2,5,0.578342634405131,0.0
5,1,4,1.0,5.0
5,2,4,0.137028976772708,0.0
5,2,5,0.284628388822161,0.0
5,2,6,0.578342634405131,0.0
6,1,5,1.0,5.0
6,2,5,0.137028976772708,0.0
6,2,6,0.284628388822161,0.0
6,2,7,0.578342634405131,0.0
7,1,6,1.0,5.0
7,2,6,0.137028976772708,0.0
7,2,7,0.284628388822161,0.0
7,2,8,0.578342634405131,0.0
8,1,7,1.0,5.0
8,2,7,0.137028976772708,0.0
8,2,8,0.284628388822161,0.0
8,2,9,0.578342634405131,0.0
9,1,8,1.0,5.0
9,2,8,0.137028976772708,0.0
9,2,9,0.284628388822161,0.0
9,2,10,0.578342634405131,0.0
10,1,9,1.0,5.0
10,2,9,0.137028976772708,0.0
10,2,10,0.284628388822161,0.0
10,2,11,0.578342634405131,0.0
11,1,10,1.0,5.0
11,2,10,0.137028976772708,0.0
11,2,11,0.284628388822161,0.0
11,2,12,0.578342634405131,0.0
12,1,11,1.0,5.0
12,2,11,0.137028976772708,0.0
12,2,12,0.284628388822161,0.0
12,2,13,0.578342634405131,0.0
13,1,12,1.0,5.0
13,2,12,0.137028976772708,0.0
13,2,13,0.284628388822161,0.0
13,2,14,0.578342634405131,0.0
14,1,13,1.0,5.0
14,2,13,0.137028976772708,0.0
14,2,14,0.284628388822161,0.0
14,2,15,0.578342634405131,0.0
15,1,14,1.0,5.0
15,2,14,0.137028976772708,0.0
15,2,15,0.284628388822161,0.0
15,2,16,0.578342634405131,0.0
16,1,15,1.0,5.0
16,2,15,0.137028976772708,0.0
16,2,16,0.284628388822161,0.0
16,2,17,0.578342634405131,0.0
17,1,16,1.0,5.0
17,2,16,0.137028976772708,0.0
17,2,17,0.284628388822161,0.0
17,2,18,0.578342634405131,0.0
18,1,17,1.0,5.0
18,2,17,0.137028976772708,0.0
18,2,18,0.284628388822161,0.0
18,2,19,0.578342634405131,0.0
19,1,18,1.0,5.0
19,2,18,0.137028976772708,0.0
19,2,19,0.284628388822161,0.0
19,2,20,0.578342634405131,0.0
20,1,19,1.0,5.0
20,2,19,0.137028976772708,0.0
20,2,20,0.862971023227292,86.2971023227292
